,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot,A2TO,MPG
33,Bradley Beal,SG,8.3,17.9,0.46,2.4,6.4,0.375,5.9,11.5,0.507,3.5,4.5,0.7909999999999999,0.7,3.7,4.4,4.5,1.2,0.4,2.6,1.9,22.5,82,2977,18.4,0.564,0.35700000000000004,0.249,2.3,11.5,6.9,21.0,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.11199999999999999,2.7,-1.0,1.7,2.7,2.52,7.57,3.65,1.65,5.74,5.0,7.28,5.07,1.255,0.5777777777777778,36.30487804878049
41,Patrick Beverley,SG,5.2,12.8,0.40299999999999997,2.6,6.5,0.4,2.6,6.4,0.40700000000000003,1.5,1.8,0.8240000000000001,1.7,3.1,4.9,3.4,2.0,0.5,2.7,3.7,14.4,11,334,12.3,0.53,0.504,0.14300000000000002,5.3,9.4,7.4,13.8,2.6,1.3,16.5,19.6,0.1,0.3,0.4,0.054000000000000006,0.4,0.2,0.6,0.2,1.64,4.36,1.91,1.09,3.36,2.64,3.82,2.36,1.126,0.7941176470588236,30.363636363636363
48,Eric Bledsoe,PG,7.3,15.3,0.473,1.9,5.6,0.34700000000000003,5.3,9.8,0.545,3.9,4.9,0.795,0.8,3.6,4.4,5.7,2.3,0.7,3.3,2.9,20.4,74,2322,19.7,0.5820000000000001,0.364,0.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.11599999999999999,2.4,-0.3,2.1,2.4,3.0,6.97,3.6,1.35,4.05,4.48,4.38,4.17,1.2830000000000001,0.5789473684210525,31.37837837837838
51,Bojan Bogdanovic,SF,5.9,12.4,0.474,2.3,5.6,0.402,3.6,6.8,0.534,2.6,3.0,0.868,0.4,3.5,3.9,1.7,0.8,0.1,1.5,1.9,16.7,80,2464,13.9,0.605,0.45299999999999996,0.24100000000000002,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19.0,3.8,1.6,5.4,0.105,1.1,-1.9,-0.7,0.8,3.24,4.74,2.51,1.26,3.76,3.03,4.16,3.04,1.3359999999999999,0.8823529411764706,30.8
54,Devin Booker,SG,8.8,20.3,0.43200000000000005,2.8,7.4,0.38299999999999995,5.9,12.9,0.46,5.6,6.4,0.878,0.5,4.2,4.7,4.9,0.9,0.3,3.7,3.2,26.0,54,1865,18.1,0.561,0.364,0.312,1.5,12.7,7.0,24.4,1.2,0.6,13.9,31.7,1.9,0.6,2.4,0.063,2.9,-2.4,0.4,1.2,3.43,6.7,2.57,1.8,6.41,6.24,6.5,5.78,1.276,0.7551020408163265,34.53703703703704
57,Avery Bradley,SG,6.5,15.7,0.414,1.9,5.1,0.369,4.6,10.6,0.436,1.6,2.1,0.768,0.6,2.4,2.9,2.4,1.3,0.2,2.5,2.3,16.5,46,1433,9.6,0.496,0.325,0.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,-1.4,1.2,-0.2,-0.006999999999999999,-2.8,-1.4,-4.2,-0.8,1.83,5.13,2.78,1.52,4.48,3.2,4.0,2.59,1.05,1.0416666666666667,31.152173913043477
60,Malcolm Brogdon,PG,6.1,12.6,0.485,1.6,4.0,0.385,4.6,8.6,0.532,1.9,2.1,0.882,0.6,3.3,3.9,3.8,1.0,0.3,1.7,3.2,15.7,48,1436,14.3,0.578,0.32,0.16899999999999998,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,2.0,0.7,2.7,0.091,0.6,-1.9,-1.3,0.2,1.7,6.61,1.93,0.89,2.8,3.63,2.78,4.04,1.247,0.4473684210526316,29.916666666666668
62,Dillon Brooks,SF,5.2,11.8,0.44,1.4,4.0,0.35600000000000004,3.8,7.8,0.484,1.9,2.5,0.747,0.8,3.2,3.9,2.1,1.1,0.3,1.9,3.6,13.8,82,2350,9.8,0.531,0.342,0.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,0.1,1.1,1.2,0.024,-1.8,-1.3,-3.1,-0.7,1.79,4.32,1.74,0.78,3.0,1.91,2.54,2.47,1.146,0.9047619047619047,28.658536585365855
64,Jaylen Brown,SG,6.2,13.4,0.465,2.0,5.1,0.395,4.2,8.3,0.507,2.5,3.9,0.644,1.1,4.7,5.8,1.9,1.2,0.4,2.1,3.0,17.0,70,2152,13.6,0.562,0.381,0.29,3.4,14.0,8.8,8.5,1.6,1.0,12.0,21.4,1.2,3.2,4.5,0.1,-0.6,0.4,-0.2,1.0,2.05,6.2,2.89,1.84,5.36,2.07,4.57,1.98,1.244,1.105263157894737,30.742857142857144
73,Jimmy Butler,SG,7.3,15.3,0.474,1.2,3.3,0.35,6.1,12.0,0.509,6.0,7.1,0.8540000000000001,1.3,3.9,5.2,4.8,1.9,0.4,1.8,1.3,21.7,59,2164,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1.0,8.9,24.9,7.1,1.8,8.9,0.198,4.9,0.1,5.0,3.8,2.38,8.46,3.88,2.09,5.14,5.05,5.14,6.43,1.409,0.375,36.67796610169491
