,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team,Season,Season Type,Games,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot
282,Robin Lopez,C,7.3,13.7,0.53,0.1,0.3,0.28600000000000003,7.2,13.4,0.536,1.4,1.9,0.7559999999999999,2.9,3.3,6.2,2.6,0.3,1.1,2.3,2.3,16.1,14.7,0.552,0.022000000000000002,0.14,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,1.2,0.7,1.9,0.055,-1.7,-0.3,-1.9,0.0,Bulls,2017-2018,REG,61,0.23,8.85,1.2,1.84,5.38,2.08,3.61,0.75,1.178
283,Kevin Love,C,7.3,15.9,0.45799999999999996,3.0,7.2,0.415,4.3,8.7,0.494,5.1,5.8,0.88,2.2,9.7,11.9,2.2,0.9,0.5,2.0,2.6,22.7,22.4,0.614,0.45299999999999996,0.365,7.0,29.8,18.6,9.8,1.3,1.2,9.6,25.1,4.7,1.6,6.4,0.185,2.7,-1.5,1.3,1.4,Cavaliers,2017-2018,REG,48,0.9,5.58,2.48,2.35,6.23,3.96,5.71,1.83,1.4240000000000002
284,Kyle Lowry,PG,5.8,13.5,0.42700000000000005,3.4,8.5,0.39899999999999997,2.4,5.0,0.474,3.2,3.7,0.8540000000000001,0.9,5.3,6.2,7.7,1.2,0.3,2.6,2.8,18.2,19.5,0.598,0.631,0.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,7.0,3.1,10.2,0.19399999999999998,5.4,0.5,5.9,5.0,Raptors,2017-2018,REG,65,2.92,3.69,2.06,1.2,4.31,4.09,4.77,3.06,1.34
285,Timothe Luwawu-Cabarrot,SF,4.5,11.9,0.375,2.4,7.0,0.335,2.1,4.9,0.431,2.1,2.6,0.7929999999999999,0.6,2.6,3.2,2.4,0.5,0.2,1.7,4.3,13.3,7.0,0.511,0.5920000000000001,0.217,1.9,7.5,4.8,9.3,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-2.3,-2.4,-4.7,-0.5,76ers,2017-2018,REG,52,0.79,1.65,0.73,0.46,1.65,1.37,0.79,1.94,1.12
286,Tyler Lydon,PF,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.013999999999999999,-5.7,-0.8,-6.5,0.0,Nuggets,2017-2018,REG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Trey Lyles,PF,7.0,14.2,0.491,2.1,5.6,0.381,4.8,8.6,0.563,2.6,3.7,0.706,1.4,7.6,9.0,2.4,0.8,0.9,1.6,2.9,18.7,17.9,0.591,0.396,0.26,4.5,23.5,14.0,10.1,1.1,2.0,9.0,21.1,2.7,1.2,3.9,0.134,0.6,-1.4,-0.8,0.4,Nuggets,2017-2018,REG,63,0.62,4.7,1.54,1.17,1.75,2.87,1.84,3.9,1.3219999999999998
288,Shelvin Mack,PG,4.7,10.9,0.43,1.3,3.7,0.345,3.4,7.3,0.473,1.8,2.6,0.711,0.6,3.8,4.4,7.2,1.4,0.2,2.3,2.4,12.5,13.3,0.518,0.336,0.23399999999999999,1.8,11.6,6.7,29.5,1.9,0.5,16.3,17.6,1.0,1.0,2.0,0.069,-1.2,-1.2,-2.4,-0.1,Magic,2017-2018,REG,56,1.0,2.93,1.13,0.8,0.63,2.54,0.63,2.41,1.188
289,Josh Magette,PG,2.5,7.7,0.326,1.3,3.7,0.364,1.2,4.0,0.292,1.3,1.3,1.0,0.3,2.8,3.2,9.5,1.3,0.2,1.5,2.7,7.7,11.9,0.46399999999999997,0.478,0.174,1.0,8.8,4.9,36.4,1.8,0.4,15.4,11.8,0.3,0.1,0.4,0.092,-2.3,-3.0,-5.4,-0.2,Hawks,2017-2018,REG,13,0.23,0.15,0.23,0.0,0.15,0.69,0.38,0.92,1.273
290,Ian Mahinmi,C,4.3,7.8,0.556,0.0,0.1,0.0,4.3,7.7,0.561,2.8,4.0,0.703,4.2,5.6,9.8,1.7,1.2,1.3,3.1,7.2,11.5,12.2,0.601,0.008,0.516,13.4,17.4,15.4,6.6,1.6,3.2,24.7,15.6,0.8,1.4,2.2,0.09300000000000001,-2.3,1.6,-0.7,0.4,Wizards,2017-2018,REG,66,0.14,3.39,0.52,1.52,1.29,1.39,0.55,1.52,1.5419999999999998
291,Thon Maker,C,3.8,9.2,0.41100000000000003,0.9,3.0,0.298,2.9,6.2,0.467,1.9,2.7,0.6990000000000001,2.2,4.4,6.5,1.3,1.1,1.5,1.3,4.7,10.4,10.2,0.499,0.32899999999999996,0.294,7.1,14.2,10.6,5.2,1.5,3.7,11.0,14.6,0.3,1.1,1.5,0.055999999999999994,-2.7,0.0,-2.7,-0.2,Bucks,2017-2018,REG,66,0.17,1.76,0.97,0.65,1.36,1.3,1.09,1.0,1.1340000000000001
292,Boban Marjanovic,C,8.4,15.8,0.534,0.0,0.0,,8.4,15.8,0.534,8.2,10.4,0.794,5.1,10.3,15.4,2.4,1.1,1.2,3.8,5.4,25.1,26.0,0.616,0.0,0.655,15.7,31.4,23.5,11.2,1.5,2.8,15.9,29.4,1.0,0.5,1.5,0.215,-0.3,-0.3,-0.6,0.1,"Pistons, Clippers",2017-2018,REG,25,0.08,4.0,0.6,1.56,0.72,2.04,0.72,2.52,1.485
293,Lauri Markkanen,PF,6.7,15.4,0.434,2.6,7.1,0.36200000000000004,4.1,8.2,0.49700000000000005,2.5,3.0,0.843,1.4,7.6,9.1,1.4,0.7,0.7,1.5,1.8,18.4,15.6,0.552,0.465,0.193,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,-0.6,-1.3,-1.9,0.1,Bulls,2017-2018,REG,60,1.5,5.23,1.82,1.55,4.12,3.23,4.52,2.68,1.163
294,Jarell Martin,PF,4.8,10.8,0.446,0.7,2.1,0.34700000000000003,4.1,8.6,0.47,1.9,2.5,0.767,2.1,4.8,6.9,1.6,0.8,1.1,1.9,4.6,12.2,10.5,0.516,0.198,0.23399999999999999,6.6,15.8,11.1,7.0,1.2,2.8,13.6,17.1,0.1,1.2,1.3,0.038,-3.0,0.0,-3.0,-0.4,Grizzlies,2017-2018,REG,63,1.21,3.59,1.51,1.29,1.83,2.27,1.84,1.57,1.165
295,Frank Mason,PG,5.3,13.9,0.379,1.1,3.1,0.36,4.1,10.8,0.384,3.4,4.2,0.8170000000000001,1.1,3.7,4.8,5.4,1.2,0.4,2.4,2.6,15.1,13.0,0.48,0.226,0.303,3.3,12.1,7.5,22.7,1.7,1.0,13.1,22.6,0.0,0.6,0.5,0.027000000000000003,-2.0,-1.4,-3.4,-0.4,Kings,2017-2018,REG,41,0.95,2.98,1.27,0.76,1.32,2.24,0.93,3.2,1.115
296,Mangok Mathiang,C,7.2,12.6,0.5710000000000001,0.0,0.0,,7.2,12.6,0.5710000000000001,0.0,1.8,0.0,5.4,12.6,18.0,0.0,1.8,0.0,0.0,9.0,14.4,18.0,0.5379999999999999,0.0,0.14300000000000002,16.0,38.5,27.1,0.0,2.4,0.0,0.0,16.1,0.0,0.0,0.1,0.183,-4.1,-5.7,-9.8,0.0,Hornets,2017-2018,REG,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Wesley Matthews,SF,4.8,11.8,0.406,2.6,6.8,0.381,2.2,5.0,0.441,1.4,1.7,0.8220000000000001,0.5,2.9,3.3,2.9,1.3,0.3,1.4,2.4,13.5,11.4,0.541,0.5770000000000001,0.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,1.0,1.6,2.6,0.059000000000000004,0.2,-0.2,0.1,1.1,Mavericks,2017-2018,REG,63,1.29,2.86,1.67,1.05,3.44,2.63,4.22,2.4,1.151
298,Luc Mbah a Moute,PF,3.8,7.9,0.48100000000000004,1.5,4.0,0.364,2.4,4.0,0.599,1.5,2.2,0.684,0.5,3.8,4.3,1.3,1.7,0.6,1.6,2.3,10.6,10.2,0.595,0.501,0.275,1.6,11.7,6.7,5.0,2.3,1.4,15.1,12.9,0.7,2.1,2.8,0.086,-1.5,1.5,0.0,0.8,Rockets,2017-2018,REG,51,1.45,3.41,1.24,0.63,2.16,1.75,1.75,2.02,1.348
299,James Michael McAdoo,PF,4.0,14.0,0.28600000000000003,4.0,14.0,0.28600000000000003,0.0,0.0,,4.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,16.0,7.4,0.508,1.0,0.28600000000000003,0.0,11.5,6.0,0.0,0.0,4.6,11.3,21.0,0.0,0.0,0.0,0.023,-4.3,-4.4,-8.7,0.0,76ers,2017-2018,REG,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.143
