Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Tom Meschery,SF,80,0,2294,6.18308631211857,12.836965998256321,0.0,0.0,3.075850043591979,3.8918918918918917,0.0,0.0,2.4638186573670446,0.0,0.0,0.0,4.974716652136007,15.44202266782912,13.6,0.531,0.0,0.303,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,2.9,1.5,4.4,0.092,0.0,0.0,0.0,28.675
Earl Monroe,PG,82,0,3051,8.200589970501476,18.371681415929203,0.0,0.0,6.277286135693215,7.563421828908554,0.0,0.0,4.743362831858407,0.0,0.0,0.0,3.0442477876106193,22.678466076696164,17.3,0.523,0.0,0.41200000000000003,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,5.1,3.2,8.3,0.13,0.0,0.0,0.0,37.207317073170735
Otto Moore,C,81,0,2523,5.464922711058264,11.486325802615934,0.0,0.0,2.7681331747919145,4.3519619500594535,0.0,0.0,1.483947681331748,0.0,0.0,0.0,3.310344827586207,13.697978596908444,14.3,0.511,0.0,0.379,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,2.0,1.5,3.5,0.067,0.0,0.0,0.0,31.14814814814815
Erwin Mueller,PF,74,0,2284,4.523642732049037,9.677758318739054,0.0,0.0,2.915936952714536,4.003502626970228,0.0,0.0,3.136602451838879,0.0,0.0,0.0,2.9316987740805605,11.96322241681261,10.2,0.41700000000000004,0.0,0.281,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.045,0.0,0.0,0.0,30.864864864864863
Jeff Mullins,SG,74,0,2861,8.254456483746942,17.943376441803565,0.0,0.0,4.026564138413143,4.7563788885005245,0.0,0.0,4.529884655714785,0.0,0.0,0.0,3.0199231038098566,20.535477105907027,17.0,0.512,0.0,0.265,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,3.7,3.0,6.8,0.114,0.0,0.0,0.0,38.66216216216216
Willis Reed,C,81,0,3089,8.181288442861767,16.141146001942378,0.0,0.0,4.090644221430884,5.407575267076724,0.0,0.0,1.8763353836192944,0.0,0.0,0.0,3.3447717707996114,20.45322110715442,20.3,0.552,0.0,0.335,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,7.2,7.5,14.6,0.22699999999999998,0.0,0.0,0.0,38.135802469135804
Oscar Robertson,PG,69,0,2865,8.129842931937173,15.92041884816754,0.0,0.0,5.704712041884817,7.049214659685864,0.0,0.0,7.01151832460733,0.0,0.0,0.0,2.1989528795811517,21.964397905759164,21.5,0.5770000000000001,0.0,0.44299999999999995,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,8.7,2.7,11.4,0.191,0.0,0.0,0.0,41.52173913043478
Flynn Robinson,PG,81,0,2762,8.641564083997103,18.13034033309196,0.0,0.0,5.721940622737147,6.373642288196959,0.0,0.0,5.85228095582911,0.0,0.0,0.0,3.3106444605358436,23.005068790731354,19.3,0.5489999999999999,0.0,0.35200000000000004,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,6.9,2.4,9.3,0.162,0.0,0.0,0.0,34.098765432098766
Bob Rule,C,80,0,2959,9.599188915174045,20.743494423791823,0.0,0.0,4.708347414667117,6.594119635011829,0.0,0.0,1.7519432240621833,0.0,0.0,0.0,3.3822237242311592,23.90672524501521,17.7,0.506,0.0,0.318,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,3.4,1.8,5.2,0.084,0.0,0.0,0.0,36.9875
Paul Silas,PF,78,0,2836,4.734837799717912,10.20592383638928,0.0,0.0,3.173483779971791,5.229901269393512,0.0,0.0,2.716502115655853,0.0,0.0,0.0,3.3765867418899855,12.643159379407615,12.8,0.505,0.0,0.512,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.8,1.5,3.3,0.055999999999999994,0.0,0.0,0.0,36.35897435897436
