Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Terrell Brandon,PG,75,75,2570,7.143968871595331,15.352529182879378,1.2747081712062258,3.2918287937743194,4.734630350194553,5.336964980544748,0.6583657587548638,2.8155642023346306,6.821789883268483,1.8490272373540857,0.4622568093385214,1.9891050583657588,2.0451361867704283,20.297276264591442,25.2,0.573,0.214,0.348,2.4,10.6,6.4,38.1,3.0,1.1,10.1,27.6,9.5,3.1,12.7,0.237,6.0,1.5,7.5,34.266666666666666
P.J. Brown,C,81,81,2942,4.331747110808974,9.764785859959211,0.036709721278042146,0.18354860639021073,2.496261046906866,3.2426920462270563,2.6308633582596874,4.221617946974847,2.019034670292318,0.9666893269884432,1.2236573759347382,1.6274643099932018,3.046906866077498,11.196464989802855,12.6,0.5,0.019,0.332,7.9,13.2,10.5,9.3,1.4,2.6,12.7,15.6,2.0,3.3,5.3,0.087,-1.3,0.7,-0.5,36.32098765432099
Scott Burrell,SF,20,20,693,4.77922077922078,10.701298701298702,1.9220779220779223,5.090909090909091,2.181818181818182,2.909090909090909,1.3506493506493507,3.7402597402597406,2.441558441558442,1.4025974025974026,0.6753246753246753,2.233766233766234,3.9480519480519485,13.662337662337663,13.0,0.57,0.47600000000000003,0.272,4.5,12.9,8.6,10.5,2.0,1.4,15.7,17.9,0.6,0.4,1.1,0.075,0.0,0.1,0.1,34.65
Michael Cage,C,82,80,2631,3.0102622576966933,5.418472063854048,0.0,0.013683010262257697,0.6841505131128849,1.258836944127708,3.9407069555302168,6.034207525655645,0.7251995438996579,1.1904218928164196,1.0809578107183582,0.7388825541619156,2.941847206385405,6.704675028506272,14.1,0.561,0.003,0.23199999999999998,14.3,22.7,18.4,3.3,1.9,2.7,11.0,9.4,4.1,4.0,8.1,0.14800000000000002,-0.4,0.2,-0.2,32.08536585365854
Elden Campbell,PF,82,82,2699,5.962208225268618,11.844386809929604,0.0,0.06669136717302705,3.3212300852167473,4.6550574286772886,2.1608002964060766,6.148944053353094,2.414227491663579,1.1737680622452762,2.827713968136347,1.827343460540941,4.001482030381623,15.245646535753984,18.0,0.5489999999999999,0.006,0.39299999999999996,7.1,19.5,13.4,10.3,1.7,5.5,11.6,19.6,3.8,4.4,8.2,0.147,-0.2,1.9,1.7,32.91463414634146
Cedric Ceballos,SF,78,71,2628,8.73972602739726,16.47945205479452,0.6986301369863013,2.5205479452054793,4.506849315068493,5.602739726027397,2.9452054794520546,4.397260273972602,1.6301369863013697,1.2876712328767121,0.3013698630136986,2.287671232876712,1.9726027397260273,22.684931506849313,22.1,0.599,0.153,0.34,9.7,13.9,11.9,7.9,1.9,0.6,10.8,26.5,7.1,2.8,9.8,0.18,3.9,-1.3,2.6,33.69230769230769
Rex Chapman,SG,56,50,1865,5.578552278820376,13.106702412868634,2.412868632707775,6.505093833780161,1.6021447721179625,2.1812332439678284,0.4246648793565684,2.3742627345844505,3.204289544235925,0.868632707774799,0.193029490616622,1.5249329758713137,2.258445040214477,15.172117962466489,13.0,0.539,0.496,0.166,1.4,7.5,4.5,15.4,1.3,0.4,9.8,19.7,2.3,1.9,4.2,0.10800000000000001,0.7,0.1,0.8,33.30357142857143
Calbert Cheaney,SF,70,70,2324,6.598967297762479,14.018932874354562,0.8055077452667814,2.3855421686746987,2.3390705679862305,3.314974182444062,1.0378657487091223,2.6643717728055076,2.3855421686746987,1.0378657487091223,0.27882960413080893,1.998278829604131,3.1755593803786577,16.34251290877797,13.0,0.528,0.17,0.23600000000000002,3.5,8.5,6.1,10.6,1.5,0.6,11.4,21.7,1.5,1.7,3.2,0.065,-0.9,-1.0,-1.9,33.2
Chris Childs,PG,78,54,2408,4.843853820598007,11.631229235880399,1.4202657807308972,3.872093023255814,3.872093023255814,4.544850498338871,0.7624584717607974,2.9003322259136213,8.192691029900333,1.6594684385382061,0.11960132890365449,3.4385382059800667,3.6777408637873754,14.980066445182725,16.4,0.5489999999999999,0.33299999999999996,0.391,2.3,9.1,5.6,38.6,2.4,0.3,20.1,20.7,3.3,2.5,5.8,0.115,1.3,0.4,1.7,30.871794871794872
Bimbo Coles,PG,52,52,1882,4.418703506907545,10.69287991498406,1.2051009564293307,3.2901168969181724,2.658873538788523,3.3092454835281617,0.7268862911795962,3.117959617428268,5.662061636556855,1.2051009564293307,0.2295430393198725,2.352816153028693,3.3475026567481407,12.701381509032945,13.0,0.523,0.308,0.309,2.4,9.9,6.2,25.7,1.8,0.5,16.2,18.3,1.9,2.4,4.3,0.109,-0.3,0.9,0.6,36.19230769230769
Dell Curry,SG,82,29,2371,6.69590889919865,14.788696752425137,2.4900885702235342,6.164487557992408,2.21678616617461,2.5963728384647826,1.0324757486292704,2.9759595107549557,2.6722901729228172,1.639814424293547,0.3795866722901729,1.973850695908899,2.6267397722479964,18.098692534795443,16.8,0.568,0.41700000000000004,0.17600000000000002,3.4,10.2,6.8,12.5,2.4,0.8,11.0,22.5,3.8,1.4,5.1,0.10400000000000001,2.1,-0.3,1.8,28.914634146341463
Sasha Danilović,SG,19,18,542,5.512915129151292,12.22140221402214,2.2583025830258303,5.180811808118081,3.653136531365314,4.782287822878229,0.7970479704797049,2.2583025830258303,3.121771217712177,0.996309963099631,0.19926199261992622,2.4575645756457565,3.2546125461254616,16.937269372693727,14.4,0.591,0.424,0.391,2.6,7.1,4.9,14.9,1.5,0.4,14.6,21.2,0.9,0.6,1.5,0.129,1.0,-0.6,0.4,28.526315789473685
