name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,games_played_y,minutes_played_y,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Matt Harpring,SHOOTING GUARD,56,55,1615,238,524,13,52,134,165,90,152,102,42,17,90,161,623,56,1615,13.3,0.522,0.099,0.315,6.5,10.9,8.7,10.9,1.4,0.8,13.1,19.2,1.8,0.8,2.6,0.077,-0.4,-1.0,-1.3,28.839285714285715
Othella Harrington,CENTER,44,40,1267,180,386,0,3,120,154,102,187,36,19,26,104,136,480,44,1267,11.7,0.529,0.008,0.39899999999999997,9.3,16.8,13.1,4.9,0.8,1.4,18.6,20.1,0.1,0.8,0.9,0.035,-2.7,-1.3,-4.0,28.795454545454547
Othella Harrington,CENTER,44,40,1267,180,386,0,3,120,154,102,187,36,19,26,104,136,480,30,548,12.9,0.609,0.0,0.579,8.4,13.3,10.9,6.4,1.5,2.8,21.3,17.2,0.7,0.9,1.6,0.14,-3.3,1.7,-1.6,28.795454545454547
Grant Hill,SMALL FORWARD,4,4,133,19,43,1,1,16,26,8,17,25,5,2,11,9,55,4,133,18.1,0.505,0.023,0.605,6.5,14.5,10.4,30.7,1.9,1.1,16.8,21.8,0.2,0.2,0.3,0.126,3.3,2.0,5.2,33.25
Tyrone Hill,POWER FORWARD,76,75,2363,278,587,0,1,172,273,239,448,48,37,27,127,242,728,76,2363,12.4,0.515,0.002,0.465,11.7,21.0,16.4,3.3,0.8,0.8,15.2,16.0,2.0,3.5,5.5,0.111,-1.7,-0.8,-2.4,31.092105263157894
Fred Hoiberg,SHOOTING GUARD,74,37,2247,217,495,103,250,136,157,21,287,263,98,12,74,155,673,74,2247,15.3,0.597,0.505,0.317,1.1,15.8,8.1,19.9,2.3,0.4,11.6,13.2,4.6,1.3,5.9,0.126,0.8,0.4,1.2,30.364864864864863
Allan Houston,SHOOTING GUARD,78,78,2858,542,1208,96,252,279,307,20,263,173,52,10,161,190,1459,78,2858,16.1,0.5429999999999999,0.209,0.254,0.9,10.8,6.0,12.0,1.0,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.3,-0.1,1.1,36.64102564102564
Juwan Howard,POWER FORWARD,54,54,1981,392,827,0,0,197,256,121,258,154,46,21,169,186,981,54,1981,15.8,0.522,0.0,0.31,7.0,15.5,11.2,14.9,1.2,0.8,15.2,24.9,1.6,0.6,2.2,0.053,0.2,-1.7,-1.5,36.68518518518518
Juwan Howard,POWER FORWARD,54,54,1981,392,827,0,0,197,256,121,258,154,46,21,169,186,981,27,993,16.6,0.5379999999999999,0.008,0.325,5.8,15.7,10.9,12.0,1.5,1.1,14.0,23.8,1.1,1.1,2.2,0.106,-0.3,-0.3,-0.6,36.68518518518518
Juwan Howard,POWER FORWARD,27,27,993,191,391,0,3,99,127,50,143,70,29,16,73,106,481,54,1981,15.8,0.522,0.0,0.31,7.0,15.5,11.2,14.9,1.2,0.8,15.2,24.9,1.6,0.6,2.2,0.053,0.2,-1.7,-1.5,36.77777777777778
Juwan Howard,POWER FORWARD,27,27,993,191,391,0,3,99,127,50,143,70,29,16,73,106,481,27,993,16.6,0.5379999999999999,0.008,0.325,5.8,15.7,10.9,12.0,1.5,1.1,14.0,23.8,1.1,1.1,2.2,0.106,-0.3,-0.3,-0.6,36.77777777777778
Larry Hughes,SHOOTING GUARD,50,45,1846,308,805,14,75,193,252,76,200,223,96,29,152,147,823,50,1846,13.9,0.449,0.09300000000000001,0.313,4.0,12.5,7.9,21.0,2.7,1.1,14.2,24.4,-0.4,1.1,0.6,0.017,-1.2,-0.2,-1.4,36.92
Allen Iverson,SHOOTING GUARD,71,71,2979,762,1813,98,306,585,719,50,223,325,178,20,237,147,2207,71,2979,24.0,0.518,0.16899999999999998,0.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,7.3,4.5,11.8,0.19,5.0,1.1,6.1,41.95774647887324
Jim Jackson,SMALL FORWARD,17,14,550,77,217,16,38,73,85,17,62,50,19,4,48,42,243,17,550,12.7,0.478,0.175,0.392,3.4,12.6,8.0,15.4,1.8,0.5,15.9,24.6,-0.1,0.4,0.4,0.031,-0.6,-1.3,-1.9,32.35294117647059
Jim Jackson,SMALL FORWARD,17,14,550,77,217,16,38,73,85,17,62,50,19,4,48,42,243,39,1140,9.7,0.44299999999999995,0.10099999999999999,0.20199999999999999,3.7,11.1,7.4,16.9,1.6,0.4,15.4,21.2,-0.8,0.6,-0.2,-0.01,-2.9,-1.3,-4.2,32.35294117647059
Jim Jackson,SMALL FORWARD,39,26,1140,162,415,10,42,66,84,36,109,113,34,6,82,97,400,17,550,12.7,0.478,0.175,0.392,3.4,12.6,8.0,15.4,1.8,0.5,15.9,24.6,-0.1,0.4,0.4,0.031,-0.6,-1.3,-1.9,29.23076923076923
Jim Jackson,SMALL FORWARD,39,26,1140,162,415,10,42,66,84,36,109,113,34,6,82,97,400,39,1140,9.7,0.44299999999999995,0.10099999999999999,0.20199999999999999,3.7,11.1,7.4,16.9,1.6,0.4,15.4,21.2,-0.8,0.6,-0.2,-0.01,-2.9,-1.3,-4.2,29.23076923076923
Marc Jackson,CENTER,48,35,1410,237,508,5,23,154,192,119,242,59,34,27,93,138,633,48,1410,16.1,0.534,0.045,0.37799999999999995,8.3,19.8,13.6,7.3,1.2,1.4,13.6,20.5,1.9,0.7,2.6,0.08900000000000001,-0.2,-1.4,-1.6,29.375
Mark Jackson,POINT GUARD,54,54,1802,170,403,57,165,64,76,42,143,498,63,7,117,83,461,54,1802,16.3,0.528,0.409,0.18899999999999997,2.6,9.2,5.8,41.3,1.8,0.3,21.1,13.7,3.5,1.2,4.7,0.125,2.3,-0.6,1.8,33.370370370370374
Mark Jackson,POINT GUARD,54,54,1802,170,403,57,165,64,76,42,143,498,63,7,117,83,461,29,786,11.8,0.45299999999999996,0.233,0.094,3.3,14.8,9.2,34.7,1.5,0.0,23.6,15.3,0.1,1.2,1.2,0.07400000000000001,-1.2,0.5,-0.6,33.370370370370374
Antawn Jamison,SMALL FORWARD,82,82,3394,800,1812,62,205,382,534,280,435,164,114,28,199,225,2044,82,3394,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,5.4,1.3,6.7,0.094,2.8,-2.0,0.8,41.390243902439025
Larry Johnson,POWER FORWARD,65,65,2105,246,598,51,163,102,128,90,273,127,39,29,97,209,645,65,2105,11.2,0.493,0.273,0.214,5.3,15.2,10.4,10.5,1.0,1.1,12.9,17.4,1.0,3.1,4.1,0.09300000000000001,-1.0,0.9,-0.1,32.38461538461539
Eddie Jones,SHOOTING GUARD,63,58,2282,388,871,90,238,228,270,75,217,171,110,58,135,183,1094,63,2282,18.8,0.5529999999999999,0.273,0.31,3.9,11.3,7.6,14.8,2.7,2.0,12.0,23.9,3.9,4.0,7.9,0.166,2.5,2.1,4.6,36.22222222222222
Jason Kidd,POINT GUARD,77,76,3065,451,1097,69,232,328,403,91,403,753,166,23,286,171,1299,77,3065,19.4,0.51,0.21100000000000002,0.36700000000000005,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,4.2,5.4,9.6,0.15,2.4,1.7,4.2,39.8051948051948
Brevin Knight,POINT GUARD,47,43,1364,137,356,1,10,49,60,22,139,286,95,3,84,138,324,6,93,6.5,0.255,0.0,0.4,1.2,7.5,4.4,38.0,3.4,0.8,28.4,12.0,-0.1,0.1,-0.1,-0.03,-5.5,1.6,-3.9,29.02127659574468
Brevin Knight,POINT GUARD,47,43,1364,137,356,1,10,49,60,22,139,286,95,3,84,138,324,47,1364,12.9,0.424,0.027999999999999997,0.16899999999999998,1.8,11.4,6.6,33.4,3.6,0.2,18.0,15.3,0.1,1.6,1.7,0.06,-2.9,1.6,-1.3,29.02127659574468
Toni Kukoč,SMALL FORWARD,17,14,618,124,252,38,79,49,72,19,78,106,13,5,51,36,335,48,979,15.3,0.523,0.23600000000000002,0.267,5.5,13.0,9.4,16.5,1.9,0.4,14.0,19.8,1.1,1.3,2.5,0.121,1.4,0.7,2.1,36.35294117647059
Toni Kukoč,SMALL FORWARD,17,14,618,124,252,38,79,49,72,19,78,106,13,5,51,36,335,17,618,21.8,0.59,0.313,0.28600000000000003,3.4,14.2,8.7,32.5,1.1,0.6,15.2,24.2,1.8,0.4,2.2,0.17,5.5,-0.7,4.8,36.35294117647059
Christian Laettner,POWER FORWARD,25,13,733,112,228,3,10,103,122,43,110,57,31,19,67,83,330,53,930,16.7,0.5539999999999999,0.009000000000000001,0.254,9.2,16.0,12.7,12.0,2.2,2.1,16.3,21.0,1.3,1.3,2.6,0.134,-0.5,1.3,0.8,29.32
Christian Laettner,POWER FORWARD,25,13,733,112,228,3,10,103,122,43,110,57,31,19,67,83,330,25,733,17.6,0.586,0.044000000000000004,0.535,6.7,17.9,12.2,13.7,2.2,1.9,19.2,21.2,1.2,0.5,1.7,0.11199999999999999,0.6,-0.1,0.4,29.32
Raef LaFrentz,CENTER,78,74,2457,387,812,51,139,183,262,173,434,107,37,206,97,290,1008,78,2457,17.6,0.544,0.171,0.32299999999999995,7.6,19.4,13.4,7.3,0.8,5.8,9.5,18.6,4.3,2.5,6.8,0.132,0.1,0.7,0.8,31.5
Voshon Lenard,SHOOTING GUARD,80,58,2331,336,846,147,382,153,192,47,184,190,65,18,102,170,972,80,2331,13.2,0.522,0.452,0.22699999999999998,2.2,8.7,5.4,13.4,1.4,0.5,9.9,19.7,2.9,0.6,3.5,0.07200000000000001,0.2,-1.1,-0.8,29.1375
Rashard Lewis,POWER FORWARD,78,78,2720,426,887,123,285,176,213,143,398,125,91,45,129,191,1151,78,2720,17.3,0.5870000000000001,0.321,0.24,6.1,16.7,11.4,7.6,1.8,1.2,11.6,18.4,5.9,2.1,8.0,0.142,2.4,-0.4,2.1,34.87179487179487
